저축은행정렬,상품명정렬,약정금리정렬,세후금리정렬,"최고우대
금리정렬","중도해지
금리
(12개월상품)정렬",세후 단리,세후 복리,"만기 시
예상금액"
푸른,푸른 정기예금,3.40%,2.88%,3.50%,1.83%,"287,640","292,164","10,287,640"
하나,정기예금,3.40%,2.88%,3.50%,-,"287,640","292,164","10,287,640"
진주,"안심정기예금(부산,창원,울산) (창구전용)",3.34%,2.83%,3.34%,1.67%,"282,564","286,929","10,282,564"
진주,"정기예금(진주,통영)",3.34%,2.83%,3.34%,1.67%,"282,564","286,929","10,282,564"
진주,M-정기예금(비대면),3.34%,2.83%,3.34%,1.67%,"282,564","286,929","10,282,564"
진주,E-정기예금(비대면),3.34%,2.83%,3.34%,1.67%,"282,564","286,929","10,282,564"
진주,지니뱅크-정기예금(비대면),3.34%,2.83%,3.34%,1.67%,"282,564","286,929","10,282,564"
진주,"안심정기예금(진주,통영) (창구전용)",3.34%,2.83%,3.34%,1.67%,"282,564","286,929","10,282,564"
진주,"정기예금(부산,울산,창원)",3.34%,2.83%,3.34%,1.67%,"282,564","286,929","10,282,564"
NH,정기예금,3.30%,2.79%,3.30%,0.99%,"279,180","283,441","10,279,180"
대아,정기예금,3.30%,2.79%,3.30%,-,"279,180","283,441","10,279,180"
평택,정기예금 - 모바일,3.30%,2.79%,3.30%,1.98%,"279,180","287,802","10,279,180"
조은,정기예금(여수지점),2.50%,2.11%,2.50%,1.50%,"211,500","213,940","10,211,500"
